Area Code: 201, Number: 12014567890, Valid: true
Area Code: 567, Number: 15674567890, Valid: true
Area Code: 570, Number: 15704567890, Valid: true
Area Code: 571, Number: 15714567890, Valid: true
Area Code: 573, Number: 15734567890, Valid: true
Area Code: 574, Number: 15744567890, Valid: true
Area Code: 575, Number: 15754567890, Valid: true
Area Code: 580, Number: 15804567890, Valid: true
Area Code: 581, Number: 15814567890, Valid: true
Area Code: 585, Number: 15854567890, Valid: true
Area Code: 586, Number: 15864567890, Valid: true
Area Code: 600, Number: 16004567890, Valid: true
Area Code: 601, Number: 16014567890, Valid: true
Area Code: 602, Number: 16024567890, Valid: true
Area Code: 603, Number: 16034567890, Valid: true
Area Code: 604, Number: 16044567890, Valid: true
Area Code: 605, Number: 16054567890, Valid: true
Area Code: 606, Number: 16064567890, Valid: true
Area Code: 607, Number: 16074567890, Valid: true
Area Code: 608, Number: 16084567890, Valid: true
Area Code: 609, Number: 16094567890, Valid: true
Area Code: 610, Number: 16104567890, Valid: true
Area Code: 611, Number: 16114567890, Valid: false
Area Code: 612, Number: 16124567890, Valid: true
Area Code: 613, Number: 16134567890, Valid: true
Area Code: 614, Number: 16144567890, Valid: true
Area Code: 615, Number: 16154567890, Valid: true
Area Code: 616, Number: 16164567890, Valid: true
Area Code: 617, Number: 16174567890, Valid: true
Area Code: 618, Number: 16184567890, Valid: true
Area Code: 619, Number: 16194567890, Valid: true
Area Code: 620, Number: 16204567890, Valid: true
Area Code: 623, Number: 16234567890, Valid: true
Area Code: 626, Number: 16264567890, Valid: true
Area Code: 628, Number: 16284567890, Valid: true
Area Code: 629, Number: 16294567890, Valid: true
Area Code: 630, Number: 16304567890, Valid: true
Area Code: 631, Number: 16314567890, Valid: true
Area Code: 636, Number: 16364567890, Valid: true
Area Code: 639, Number: 16394567890, Valid: true
Area Code: 640, Number: 16404567890, Valid: true
Area Code: 641, Number: 16414567890, Valid: true
Area Code: 646, Number: 16464567890, Valid: true
Area Code: 647, Number: 16474567890, Valid: true
Area Code: 649, Number: 16494567890, Valid: false
Area Code: 650, Number: 16504567890, Valid: true
Area Code: 651, Number: 16514567890, Valid: true
Area Code: 657, Number: 16574567890, Valid: true
Area Code: 659, Number: 16594567890, Valid: true
Area Code: 660, Number: 16604567890, Valid: true
Area Code: 661, Number: 16614567890, Valid: true
Area Code: 662, Number: 16624567890, Valid: true
Area Code: 667, Number: 16674567890, Valid: true
Area Code: 669, Number: 16694567890, Valid: true
Area Code: 670, Number: 16704567890, Valid: false
Area Code: 671, Number: 16714567890, Valid: true
Area Code: 678, Number: 16784567890, Valid: true
Area Code: 679, Number: 16794567890, Valid: false
Area Code: 680, Number: 16804567890, Valid: true
Area Code: 681, Number: 16814567890, Valid: true
Area Code: 682, Number: 16824567890, Valid: true
Area Code: 684, Number: 16844567890, Valid: false
Area Code: 689, Number: 16894567890, Valid: true
Area Code: 700, Number: 17004567890, Valid: false
Area Code: 701, Number: 17014567890, Valid: true
Area Code: 702, Number: 17024567890, Valid: true
Area Code: 703, Number: 17034567890, Valid: true
Area Code: 704, Number: 17044567890, Valid: true
Area Code: 705, Number: 17054567890, Valid: true
Area Code: 706, Number: 17064567890, Valid: true
Area Code: 707, Number: 17074567890, Valid: true
Area Code: 708, Number: 17084567890, Valid: true
Area Code: 709, Number: 17094567890, Valid: true
Area Code: 710, Number: 17104567890, Valid: false
Area Code: 712, Number: 17124567890, Valid: true
Area Code: 713, Number: 17134567890, Valid: true
Area Code: 714, Number: 17144567890, Valid: true
Area Code: 715, Number: 17154567890, Valid: true
Area Code: 716, Number: 17164567890, Valid: true
Area Code: 717, Number: 17174567890, Valid: true
Area Code: 718, Number: 17184567890, Valid: true
Area Code: 719, Number: 17194567890, Valid: true
Area Code: 720, Number: 17204567890, Valid: true
Area Code: 721, Number: 17214567890, Valid: false
Area Code: 724, Number: 17244567890, Valid: true
Area Code: 725, Number: 17254567890, Valid: true
Area Code: 726, Number: 17264567890, Valid: true
Area Code: 727, Number: 17274567890, Valid: true
Area Code: 731, Number: 17314567890, Valid: true
Area Code: 732, Number: 17324567890, Valid: true
Area Code: 734, Number: 17344567890, Valid: true
Area Code: 737, Number: 17374567890, Valid: true
Area Code: 740, Number: 17404567890, Valid: true
Area Code: 743, Number: 17434567890, Valid: true
Area Code: 747, Number: 17474567890, Valid: true
Area Code: 754, Number: 17544567890, Valid: true
Area Code: 757, Number: 17574567890, Valid: true
Area Code: 758, Number: 17584567890, Valid: true
Area Code: 760, Number: 17604567890, Valid: true
Area Code: 762, Number: 17624567890, Valid: true
Area Code: 763, Number: 17634567890, Valid: true
Area Code: 764, Number: 17644567890, Valid: false
Area Code: 765, Number: 17654567890, Valid: true
Area Code: 767, Number: 17674567890, Valid: false
Area Code: 769, Number: 17694567890, Valid: true
Area Code: 770, Number: 17704567890, Valid: true
Area Code: 772, Number: 17724567890, Valid: true
Area Code: 773, Number: 17734567890, Valid: true
Area Code: 774, Number: 17744567890, Valid: true
Area Code: 775, Number: 17754567890, Valid: true
Area Code: 778, Number: 17784567890, Valid: true
Area Code: 779, Number: 17794567890, Valid: true
Area Code: 780, Number: 17804567890, Valid: true
Area Code: 781, Number: 17814567890, Valid: true
Area Code: 782, Number: 17824567890, Valid: true
Area Code: 784, Number: 17844567890, Valid: true
Area Code: 785, Number: 17854567890, Valid: true
Area Code: 786, Number: 17864567890, Valid: true
Area Code: 787, Number: 17874567890, Valid: true
Area Code: 800, Number: 18004567890, Valid: true
Area Code: 801, Number: 18014567890, Valid: true
Area Code: 802, Number: 18024567890, Valid: true
Area Code: 803, Number: 18034567890, Valid: true
Area Code: 804, Number: 18044567890, Valid: true
Area Code: 805, Number: 18054567890, Valid: true
Area Code: 806, Number: 18064567890, Valid: true
Area Code: 807, Number: 18074567890, Valid: true
Area Code: 808, Number: 18084567890, Valid: true
Area Code: 809, Number: 18094567890, Valid: true
Area Code: 810, Number: 18104567890, Valid: true
Area Code: 812, Number: 18124567890, Valid: true
Area Code: 813, Number: 18134567890, Valid: true
Area Code: 814, Number: 18144567890, Valid: true
Area Code: 815, Number: 18154567890, Valid: true
Area Code: 816, Number: 18164567890, Valid: true
Area Code: 817, Number: 18174567890, Valid: true
Area Code: 818, Number: 18184567890, Valid: true
Area Code: 819, Number: 18194567890, Valid: true
Area Code: 822, Number: 18224567890, Valid: false
Area Code: 825, Number: 18254567890, Valid: true
Area Code: 828, Number: 18284567890, Valid: true
Area Code: 830, Number: 18304567890, Valid: true
Area Code: 831, Number: 18314567890, Valid: true
Area Code: 832, Number: 18324567890, Valid: true
Area Code: 833, Number: 18334567890, Valid: true
Area Code: 835, Number: 18354567890, Valid: true
Area Code: 843, Number: 18434567890, Valid: true
Area Code: 844, Number: 18444567890, Valid: true
Area Code: 845, Number: 18454567890, Valid: true
Area Code: 847, Number: 18474567890, Valid: true
Area Code: 848, Number: 18484567890, Valid: true
Area Code: 849, Number: 18494567890, Valid: true
Area Code: 850, Number: 18504567890, Valid: true
Area Code: 854, Number: 18544567890, Valid: true
Area Code: 855, Number: 18554567890, Valid: true
Area Code: 856, Number: 18564567890, Valid: true
Area Code: 857, Number: 18574567890, Valid: true
Area Code: 858, Number: 18584567890, Valid: true
Area Code: 859, Number: 18594567890, Valid: true
Area Code: 860, Number: 18604567890, Valid: true
Area Code: 862, Number: 18624567890, Valid: true
Area Code: 863, Number: 18634567890, Valid: true
Area Code: 864, Number: 18644567890, Valid: true
Area Code: 865, Number: 18654567890, Valid: true
Area Code: 866, Number: 18664567890, Valid: true
Area Code: 867, Number: 18674567890, Valid: true
Area Code: 868, Number: 18684567890, Valid: false
Area Code: 869, Number: 18694567890, Valid: false
Area Code: 870, Number: 18704567890, Valid: true
Area Code: 872, Number: 18724567890, Valid: true
Area Code: 873, Number: 18734567890, Valid: true
Area Code: 876, Number: 18764567890, Valid: true
Area Code: 878, Number: 18784567890, Valid: true
Area Code: 888, Number: 18884567890, Valid: true
Area Code: 898, Number: 18984567890, Valid: false
Area Code: 900, Number: 19004567890, Valid: true
Area Code: 901, Number: 19014567890, Valid: true
Area Code: 902, Number: 19024567890, Valid: true
Area Code: 903, Number: 19034567890, Valid: true
Area Code: 904, Number: 19044567890, Valid: true
Area Code: 905, Number: 19054567890, Valid: true
Area Code: 906, Number: 19064567890, Valid: true
Area Code: 907, Number: 19074567890, Valid: true
Area Code: 908, Number: 19084567890, Valid: true
Area Code: 909, Number: 19094567890, Valid: true
Area Code: 910, Number: 19104567890, Valid: true
Area Code: 912, Number: 19124567890, Valid: true
Area Code: 913, Number: 19134567890, Valid: true
Area Code: 914, Number: 19144567890, Valid: true
Area Code: 915, Number: 19154567890, Valid: true
Area Code: 916, Number: 19164567890, Valid: true
Area Code: 917, Number: 19174567890, Valid: true
Area Code: 918, Number: 19184567890, Valid: true
Area Code: 919, Number: 19194567890, Valid: true
Area Code: 920, Number: 19204567890, Valid: true
Area Code: 925, Number: 19254567890, Valid: true
Area Code: 928, Number: 19284567890, Valid: true
Area Code: 929, Number: 19294567890, Valid: true
Area Code: 930, Number: 19304567890, Valid: true
Area Code: 931, Number: 19314567890, Valid: true
Area Code: 935, Number: 19354567890, Valid: false
Area Code: 936, Number: 19364567890, Valid: true
Area Code: 937, Number: 19374567890, Valid: true
Area Code: 938, Number: 19384567890, Valid: true
Area Code: 939, Number: 19394567890, Valid: true
Area Code: 940, Number: 19404567890, Valid: true
Area Code: 941, Number: 19414567890, Valid: true
Area Code: 945, Number: 19454567890, Valid: true
Area Code: 947, Number: 19474567890, Valid: true
Area Code: 949, Number: 19494567890, Valid: true
Area Code: 951, Number: 19514567890, Valid: true
Area Code: 952, Number: 19524567890, Valid: true
Area Code: 954, Number: 19544567890, Valid: true
Area Code: 956, Number: 19564567890, Valid: true
Area Code: 959, Number: 19594567890, Valid: true
Area Code: 970, Number: 19704567890, Valid: true
Area Code: 971, Number: 19714567890, Valid: true
Area Code: 972, Number: 19724567890, Valid: true
Area Code: 973, Number: 19734567890, Valid: true
Area Code: 975, Number: 19754567890, Valid: false
Area Code: 978, Number: 19784567890, Valid: true
Area Code: 979, Number: 19794567890, Valid: true
Area Code: 980, Number: 19804567890, Valid: true
Area Code: 984, Number: 19844567890, Valid: true
Area Code: 985, Number: 19854567890, Valid: true
Area Code: 986, Number: 19864567890, Valid: true
Area Code: 989, Number: 19894567890, Valid: true
